Date,Drug,Actual,Forecasted,Error,Abs_Error_Pct,Upper,Lower,Period,MAPE_%
31/03/2020,M01AE (Ibuprofen),,113.93,,,162.6,65.25,Forecast,15
30/04/2020,M01AE (Ibuprofen),,126.61,,,175.29,77.94,Forecast,15
31/05/2020,M01AE (Ibuprofen),,122.14,,,170.81,73.46,Forecast,15
30/06/2020,M01AE (Ibuprofen),,106.69,,,155.36,58.01,Forecast,15
31/07/2020,M01AE (Ibuprofen),,112.12,,,160.8,63.45,Forecast,15
31/08/2020,M01AE (Ibuprofen),,106.03,,,154.71,57.36,Forecast,15
30/09/2020,M01AE (Ibuprofen),,116.01,,,164.69,67.33,Forecast,15
31/10/2020,M01AE (Ibuprofen),,111.35,,,160.03,62.67,Forecast,15
30/11/2020,M01AE (Ibuprofen),,118.08,,,166.76,69.41,Forecast,15
31/12/2020,M01AE (Ibuprofen),,133.51,,,182.19,84.84,Forecast,15
31/01/2014,N02BA (Aspirin ),152.1,140.62,,,,,Train,
28/02/2014,N02BA (Aspirin ),177,158.2,,,,,Train,
31/03/2014,N02BA (Aspirin ),147.7,159.18,,,,,Train,
30/04/2014,N02BA (Aspirin ),130.9,144.43,,,,,Train,
31/05/2014,N02BA (Aspirin ),132.1,144.68,,,,,Train,
30/06/2014,N02BA (Aspirin ),122.9,145.79,,,,,Train,
31/07/2014,N02BA (Aspirin ),129.3,138.29,,,,,Train,
31/08/2014,N02BA (Aspirin ),123.8,139.79,,,,,Train,
30/09/2014,N02BA (Aspirin ),122.1,132.04,,,,,Train,
31/10/2014,N02BA (Aspirin ),191.6,162.16,,,,,Train,
30/11/2014,N02BA (Aspirin ),142.7,153.09,,,,,Train,
31/12/2014,N02BA (Aspirin ),111.12,143.37,,,,,Train,
31/01/2015,N02BA (Aspirin ),141,126.98,,,,,Train,
28/02/2015,N02BA (Aspirin ),131.8,144.57,,,,,Train,
31/03/2015,N02BA (Aspirin ),133.8,145.55,,,,,Train,
30/04/2015,N02BA (Aspirin ),122.1,130.8,,,,,Train,
